tagalog,english,cebuano
nasa bahay si,is at home,naa sa balay si
ang sanggol ay natutulog,the baby is sleeping,ang bata kay natulog
ang aga aga nilang dumating,they arrived early,sayo kaayo sila niabot
sagutin mo ako kapag kinakausap kita,answer me when i talk to you,tubaga ko kon kaistorya ta ka
pumasok siya sa silid na nakatanggal ang sombrero,he entered the room with his hat off,nisulod siya sa kwarto nga nakatanggal ang kalo
naiintindihan mo ba anong ibig kong sabihin,do you understand what i mean,nasabtan ba nimo akong buot ipasabot
ayaw kong uminom ng tsaang malamig,i don t like to drink cold tea,di ko gusto moinom og tugnaw nga tsaa
isa akong pasyente,i am a patient,usa ko ka pasyente
nagpakuha ng retrato si,took a picture,nagpakuha og ritrato si
pwede na isang libong yen,it can be a thousand yen,pwede na usa ka libo nga yen
sana mayaman ako,i wish i was rich,unta datu ko
tinanggap niya ang sumang galing sa kanyang lola,he accepted the agreement from his grandmother,gidawat niya ang suman nga gikan sa iyang lola
nasaan na ang mga laruan ng mga mabait na bata,where are the good children s toys,asa na ang mga dulaan sa mga buotan nga mga bata
kumain kami ng bola bola sa tabi ng kalye,we ate meatballs by the side of the street,nikaon mi og bola bola sa gilid sa kalsada
nanininda ng koton kendi sa tapat ng sambahan,selling cotton candy in front of the church,nagatinda og koton kendi sa atubangan sa simbahan
ito ay isang pang abay,it is an adverb,kani usa ka pang abay
may oras ka,you have time,naa kay oras
kailangan niya ng isang tasa ng asukal,he needs a cup of sugar,kinahanglan niya og usa ka sa tasa nga asukar
ang kaibigan kong si mike ay nag aaral ng kimika sa pamantasan ng oxford,my friend mike is studying chemistry at oxford university,ang amigo nako nga si mike kay nag eskwela og kimika sa pamantasan sa oxford
paano iyan napunta rito,how did that get here,naunsa na naadto diri
bakit,why,ngano
kailangan nating magbasa ng kahit isang aklat kada buwan,we need to read at least one book a month,kinahanglan nato magbasa og bisan usa ka libro kada bulan
lumalangoy ang bata sa malawak na ilog,the boy is swimming in the wide river,nagalangoy ang bata sa daku nga suba
inimbitahan nila ako para maghapunan,they invited me for dinner,giimbitahan ko nila aron manihapon
ipinanganak siyang hapon,he was born in japan,gitawo siya nga hapon
nakalimutan ko ang payong ko,i forgot my umbrella,nalimtan nako akong payong
tatlong araw na lamang bago ang pasko,it s only three days before christmas,tulo ka adlaw na lang bag o mag pasko
nahihiya siya sa kahirapan ng kanyang tatay,he is ashamed of his father s poverty,naulaw siya sa kapobre sa iyang amahan
nakaupo ako sa ibabaw ng mesa,i am sitting on the table,nagalingkod ko sa ibabaw sa lamesa
naghihintay siyang may interesanteng magaganap,he was waiting for something interesting to happen,nagahulat siya nga naay interesado nga butang nga mahitabo
nakita ko na ang larawang iyan noon,i ve seen that picture before,nakit an na nako na nga ritrato sauna
wala na akong pakialam,i don t care anymore,wala na koy pakialam
hindi pwedeng magtagal masyado,it can t take too long,dili pwede nga magdugay kaayo
nasa mesa sina at kumakain ng tsampurado,and are at the table eating tsampurado,naa sa lamesa sila ug nagakaon og tsampurado
nagliligo sa ilog ang mga bata ng baryo,village children bathe in the river,nagaligo sa suba ang mga bata sa baryo
namamasyal sila sa dalampasigan,they are walking on the beach,nagsuroy suroy sila sa baybayon
bibigyan kita ng sakay kung gusto mo,i ll give you a ride if you want,tagaan ta ka og sakay kon ganahan ka
gusto ko ang mga aso mo,i like your dogs,ganahan ko sa imong mga iro
loko ka,you are crazy,loko ka
magiging mabuti ang lahat,everything will be fine,motarong gihapon ang tanan
nangingisda sila sa ilog na katabi ng baryo,they fish in the river next to the village,nagapangisda sila sa suba sa pikas sa baryo
dahil napakainit nakabentilador sila sa bahay nila,because it s so hot they have a fan in their house,tungod kay grabe ka init nakabentilador sila sa ilang balay
wala na akong magagawa kung hindi huwag nang isipin ang pagpunta sa labas ng bansa,i can t do anything but don t even think about going out of the country,wala na koy mabuhat kon dili ayaw na og hunahunaa og adto sa lain nga nasud
lumalangoy ang batang lalaki kasama ang kanyang mga kaibigan,the boy is swimming with his friends,nagalangoy ang bata nga laki kauban iyahang mga amigo
sumulat siya ng isang aklat tungkol sa tsina,he wrote a book about china,nisulat siya og usa ka libro tungkol sa tsina
ginawa niya iyon para sa kanyang kapatid na babae,he did it for his sister,gibuhat niya to para sa iyahang lumon nga baye
nagtanim sila ng ube sa kanilang hardin,they planted pears in their garden,nagtanom sila og ube sa ilang tanmanan
hinalo niya ang asukal sa buko dyus,he mixed sugar with knuckle juice,gihalo niya ang asukar sa buko dyus
maligayang pasko,merry christmas,malipayong pasko
maligayang pasko mahal ko,merry christmas my love,maligayang pasko akong pinalangga
ang mga prutas ay may mga buto sa loob,fruits have seeds inside,ang mga prutas kay naay mga liso sa sulod
umupo ka riyan,sit there,paglingkod dira
walang tigil ang pag ulan,it s raining non stop,walay hunong ang ulan
kinain ni ang lahat ng gusto niyang kainin,ate all he wanted to eat,gikaon ni ang tanan sa iyang gusto kaonon
huwag kang magsalita tungkol sa pamilya ko,don t talk about my family,ayaw og istorya tungkol sa akong pamilya
nagluto ang kusinero para sa pamilya nang maraming taon,the cook cooked for the family for many years,nagluto ang kusinero para sa pamilya og daghan nang mga tuig
pinagsilbihan ng tagaluto ang pamilya nang maraming taon,the cook served the family for many years,gisilbihan sa tagaluto ang pamilya og daghan nang mga tuig
marumi ang bata,the child is dirty,hugaw ang bata
si alister ang siyang pumatay kay barbara,alister is the one who killed barbara,si alister ang nagpatay kay barbara
huwag mong pabayaang mangyari iyon,don t let that happen,ayaw og pasagdi nga mahitabo to
gusto ko ang bahay nila,i like their house,ganahan ko sa ilang balay
kasintanda ni ang kapatid kong lalaki,my brother is as old as,parehas na ka tigulang si ug ang lumon nako nga laki
magkasing edad si at ang kapatid kong lalaki,and my brother are the same age,parehas na og edad si ug ang lumon nako nga laki
ang mga baka ay nagbibigay sa atin ng gatas,cows give us milk,ang mga bata kay nagahatag sa atoa og gatas
may dalawang anak na lalaki si,has two sons,naay duha ka anak nga laki si
lumipad ang aming eroplano nang eksaktong alas ng gabi,our plane took off at exactly pm,nlupad ang among eroplano og eksakto alas sa gabii
ang mga patalastas ang nag uudyok sa ating bumili ng maluluhong bagay,advertisements motivate us to buy luxury items,ang mga impormasyon nga naga anyag sa atoa nga mopalit og mahalon nga mga butang
bagay talaga sa kanya ang maikling buhok,short hair really suits her,angay gyud sa iya ang gamay nga buhok
mabuhay ang republika,long live the republic,mabuhay ang republika
pinapalo ni si,beat,ginabunalan ni si
tinuturuan ako ni ng wikang pranses,teaches me french,ginatudloan ko ni og sinulti an nga pranses
mapili ka talaga,you re really picky,pilian gyud ka
dumating siya sa tokyo sa edad na,he arrived in tokyo at the age of,niabot siya og tokyo sa edad nga
sang ayon ako sa lahat ng sinabi mo,i agree with everything you said,uyon ko sa tanan nga imong gisulti
may dalawang kundisyon ako,i have two conditions,naa koy duha ka kondisyon
gusto mo ng prutas,you like fruit,ganahan ka og prutas
may nagmamahal sa ating lahat,someone loves us all,naay nagahigugma sa atong tanan
patawad gagawin ko ang kahit ano para makumpuni iyan,sorry i ll do anything to fix that,pasayloa himuon nako tanan para maayo na
kailan iyon nangyari,when did that happen,kanus a to nahitabo
kailan nangyari ang ano,when did what happen,kanus a nahitabo ang unsa
hindi niya kinain ang lahat ng kakanin,he didn t eat all the food,wala niya gikaon ang tanan nga makaon
sana sinabi mo sa akin kahapon,i wish you had told me yesterday,unta giingun nimo sa akoa gahapon
natutulog ako nang nakatayo,i sleep standing up,nagatog ko nga nagatindog
gaano katagal ka na sa shanghai,how long have you been in shanghai,unsa na ka kadugay sa shanghai
may malalaking bato sa lupa,there are big stones on the ground,naay daku nga bato sa lupa
ako ang iyong kambal,i am your twin,ako ang imohang kambal
hindi nagbubunga ng pera ang puno alam mo,a tree doesn t produce money you know,di nagabunga og kwarta ang punoan kabalo ka
sabihin mo na lang sa kanya ang totoo,just tell him the truth,ingna na lang sa iyaha ang kamatuoran
ano ang nangyari sa aso mo,what happened to your dog,unsay nahitabo sa imong iro
bakit ka nagsasalita sa kanya na parang siya ay matanda,why are you talking to him like he s old,ngano naga istorya ka sa iyaha nga mura siya og tigulang
gagawin ko ang lahat ng makakaya ko,i will do my best,himuon nako sa tanan nakong makaya
tahimik at makinig,be quiet and listen,hilom ug paminaw
nagbulakbol si,blurted out,nagpabadlong si
parang walang kahit sino ang nakaka alam sa sagot,no one seems to know the answer,murag walay bisan kinsa ang nakabalo sa tubag
ang ganda sa pakiramdam,it feels good,nindot sa pamati
binili ni ang kamerang ito para sa kanyang sarili hindi para sa kanyang asawa,bought this camera for himself not for his wife,gipalit ni kining kamera para sa iyahang sarili di para sa iyang asawa
mas malalakas ang mga leyon kaysa mga lobo,lions are stronger than wolves,mas mangkakusog ang mga leyon kaysa sa mga lobo
bago ang kompyuter,the computer is new,bag o ang kompyuter
maaaring tama si,may be right,pwede nga tama si
dalhin mo lamang ang pinaka importante,bring only the most important,dad a lamang ang pinaka importante
huwag lumabas pagkatapos ng dapithapon,do not go out after midnight,ayaw og gawas inig hapit na ma gabii
magkano ang utang ko sa iyo,how much do i owe you,pila ang utang nako nimo
sabihin mo sa akin kung paano niya nakuha iyon,tell me how he got that,iingon sa akoa kon giunsa niya og kuha ato
ang mga asal niya ay hindi tulad ng isang babae,her manners are not like a woman,ang mga pamatasan niya kay di na parehas sa usa ka babaye
hindi kumakain ng maraming prutas ang tatay ko,my father doesn t eat a lot of fruit,di nagakaon og daghan nga prutas ang amahan nako
dahil sa kanyang malaking sweldo nakakabiyahe siya sa ibang bansa taon taon,because of his large salary he is able to travel abroad every year,tungod sa iyahang daku nga sweldo makabyahe siya sa lain laing nasud kada tuig
binisita ko ang hollywood habang ako ay nasa los angeles,i visited hollywood while i was in los angeles,gibisita nako ang hollywood samtang naa ko sa los angeles
siya ay mahirap pero matapat,he is poor but honest,pobre siya pero di matinuoron
napakasaya ko,i am very happy,lipay kaayo ko
mga kaibigan isang pamilya kung saan pinipili natin ang mga miyembro,friends a family where we choose the members,mga amigo usa ka pamilya nga ginapili nato ang mga miyembro
sino ang pangulo,who is the president,kinsa ang presidente
aalis akong papuntang estados unidos bukas,i am leaving for the united states tomorrow,molakaw ko paadto og estados unidos ugma
tanyag ang parkeng ito dahil sa kanyang mga bulaklak,this park is famous for its flowers,sikat ning parkeha tungod sa iyang mga bulak
ang trumpeta ay isang instrumentong pangmusika,trumpet is a musical instrument,ang trumpeta kay usa ka instrumento nga pangmusika
ipinagbabawal kitang manigarilyo,i forbid you to smoke,ginabawalan ta ka nga manigarilyo
naramdaman niya ang init ng araw sa kanyang balat,he felt the heat of the sun on his skin,nabati niya ang init sa iyang panit
hindi kumakain ng karne o itlog si,does not eat meat or eggs,dili nagakaon og karne o itlog si
imposible nang lumabas ngayon,it s impossible to get out now,imposible na nga mogawas karon
ang kaibigan sa kagipitan ay kaibigang tunay,a friend in need is a true friend,ang amigo sa kalisod kay amigo nga tinuod
ang dula ay hango sa totoong mga pangyayari,the play is based on true events,ang dula kay gikuha gikan sa tinuod nga mga panghitabo
sa tuwing pupunta ako sa bahay niya wala siya,every time i go to his house he is not there,kada adto nako sa iyang balay wala siya
namatay siya ilang araw pagkalipas ng kanyang ika isandaang kaarawan,he died a few days after his hundredth birthday,namatay siya pila ka adlaw pagkahuman sa iyang ika sagatos nga pagselebrar sa iyang pagkatawo
ikaw ay isang estudyante lamang,you are just a student,ikaw kay estudyante ra
pulutin mo ang lapis sa sahig,pick up the pencil from the floor,kuwaa ang lapis sa bantaw
may nakatingin sa iyo,someone is looking at you,naay nagatan aw nimo
nakakatawa ka talaga,you are really funny,kataw anan gyud ka
alis,go away,hawa
napakahusay nito,it s very good,kuyaw kaayo ni
kailangan niyang pumunta roon bukas,he has to go there tomorrow,kinahanglan niya mag adto didto ugma
walang diyos walang buddha,no god no buddha,walay diyos walay buddha
inamin niyang hindi siya marunong mag pranses,he admits that he doesn t know french,giangkon niya nga dili sya kabalo mag pranses
ginaya niya ang mga likha ni van gogh,he imitated the works of van gogh,gisundog niya ang mga gibuhat ni van gogh
walang kahit isang mesang bakante sa restawran,there was not a single empty table in the restaurant,walay bisan usa ka lamesa nga bakante sa restawran
isulat mo ang iyong apelyido sa ika apat na linya,write your last name on the fourth line,isuwat nimo ang imong apelyido sa ika upat nga linya
noong isang araw kasama ko si carlos at isa niyang kaibigan,the other day i was with carlos and one of his friends,katong usa ka adlaw kauban nako si carlos ug iyang usa ka amigo
walang mas mabubuti kaysa riyan,there is nothing better than that,wala nay mas maayo kaysa sa iya
pinilit ng mga sundalo ang mga binata na lumahok sa hukbo,the soldiers forced the young men to join the army,gipugos sa mga sundalo ang mga ulitawo nga moapil sa ila
pakiusap tandaang patayin ang ilaw bago matulog,please remember to turn off the light before going to bed,daan nga naandan nga patyon ang suga bag o matulog
binasa ko ang aklat hanggang sa pahina kahapon,i read the book up to page yesterday,gibasa nako ang libro hangtod sa peyj gahapon
gumawa ako ng isang manika para kay ann,i made a doll for ann,nagbuhat ko og usa ka manika para kay ann
sinubukan kong magsulat gamit ang kaliwang kamay,i tried to write with my left hand,gitistingan nako ug sulat gamit akong tuo nga kamot
ang kutsilyong ito ay ginagamit sa pagputol ng karne,this knife is used to cut meat,kani nga kutsilyo kay gigamit pangputol og karne
nagkaroon ba ng sapat na pera,was there enough money,naa ba tama tama nga kwarta
pipiliin ko ang mamatay kaysa magnakaw,i would rather die than steal,pilion nako nga mamatay kaysa sa mangawat
kailan iyon itinayo,when was that built,kanus a to gibuhat
ito ba ang susi na hinahanap mo,is this the key you re looking for,kani ba nga susi imong ginapangita
mas mahal niya si kaysa ako,she loves more than me,mas gihigugma niya si kaysa sa akoa
narinig ko iyon sa radyo,i heard that on the radio,nadunggan nako to sa radyo
walang duda,no doubt,walay duda
kami ay nag aaral ng wikang arabo,we are learning the arabic language,nagatuon mi og panulti ang arabo
sino ang may gusto pwedeng kumuha,who wants it can take it,kinsa ang naay gusto pwede mukuha
nagtataka ako kung may sakit talaga siya,i wonder if he is really sick,natingala ko kon naa ba gyud siyay sakit
kumakain ng ubas ang aso ko,my dog eats grapes,nagakaon og parras akoang iro
tawagan mo ako kung nagiging mapanganib na,call me if it gets dangerous,tawagi ko kon delikado na
hindi ko alam kailan siya pupunta rito,i don t know when he will come here,wa ko nahibalo kanus a siya moanhi diri
nasaan ang bahay mo,where is your house,asa imong balay
gustong lumabas ang aso ni,s dog wants to go out,gusto mogawas ang iro ni
lahat kami pumasok sa kotse,we all got into the car,tanan mi nisulod sa sakyanan
huwag kang pumasok sa kwarto ko nang hindi kumakatok,don t come into my room without knocking,ayaw og sulod sa kwarto nako nga walay panuktok
hindi pa ako nakakita ng ganito noon,i have never seen anything like this before,wala pa ko nakakita og ing ani sauna
sa tingin ko kailangan kong pumasok nang mag isa,i think i have to go in alone,sa panan aw nako kinahanglan ko mosulod nga ako ra isa
nagpanggap siya bilang siya,he pretended to be her,nagtakuban siya nga siya
bakit ayaw mong sumama sa akin sa sinehan,why don t you want to go to the cinema with me,ngano di man ka mouban sa akoa sa sinehan
kuba ako,i m a hunchback,buktot ko
matingkad na pula ang dugo,the blood was bright red,sinag nga pula ang dugo
sa iyo ba ang librong ito,is this book yours,imoha ba ning libro
simula bukas hindi na ako maninigarilyo,starting tomorrow i won t smoke anymore,sugod ugma di na ko manigarilyo
kamayan mo ako,hold my hand,kamayi ko
huwag bumilad sa araw nang matagal,do not expose to the sun for a long time,ayaw og bilad sa adlaw nga dugay
hindi ko alam anong pinagsasabi mo,i don t know what you are talking about,wa ka kabalo sa imong ginapangsulti
may nakita siyang isang barko sa malayo,he saw a ship in the distance,naa siyay nakita nga usa ka barko sa lagyo
sabihin mo sa lahat na uuwi na ako,tell everyone i m coming home,igna ang tanan nga mouli nako
imbestigahan natin,let s investigate,imbestigahan nato
hindi pasko ngayon,it s not christmas today,dili pasko karon
ang kabayong ito ay may malalaki at magagandang mata,this horse has big and beautiful eyes,kani nga kabayo kay mangkadagko ug mangkanindot ang mga mata
siyempre may katwiran siya,of course he had a point,siyempre naa siyay rason
ang lasang tsokolate ang paborito ko,the chocolate flavor is my favorite,ang lasa nga tsokolate akoang paborito
sino ang nobyo mo,who is your boyfriend,kinsa ang uyab nimo
pinagawa niya sa amin ang trabaho,he made us do the work,gipabuhat niya sa amoa ang tarbaho
may kaunting pera na ako ngayon,i have a little money now,naay gamay nga kwarta ko karon
hindi pa niya binasa ang aklat,he has not read the book,wala pa niya gibasa ang libro
mahirap magkatotoo ang ganyang klaseng plano,such a plan is hard to come true,lisud matinuod ang ingun ana nga klase nga plano
hindi ako kumakain,i don t eat,dili ko nagakaon
nag aral ng ingles si yumi kagabi,yumi studied english last night,naga estudyo og ingles si yumi gabii
nagniningning ang mga bituin sa langit,the stars are shining in the sky,nagasiga ang mga bituon sa langit
paano ka aasenso nang walang mabuting edukasyon,how can you advance without a good education,unsaon nimo pag asenso og wala kay tarong nga edukasyon
isa siyang sikat na mang aawit,he is a famous singer,usa siya ka sikat nga tagakanta
ilang taon ang anak mong lalaki,how old is your son,pilay edad sa imong anak nga laki
nagsasayang ng maraming pagkain si,wastes a lot of food,nagakalas og daghan nga pagkaon si
maghanap tayo ng ibang mapagtataguan,let s find somewhere else to hide,mangita ta og lahi nga kitaanan
natumba nang mag isa ang puno,the tree fell by itself,natumba og iya ra ang puno
gusto ko ang lasa ng pakwan,i like the taste of watermelon,ganahan ko sa lami sa pakwan
tumaba ako,i gained weight,nitambok ko
nasa boston ako sa darating na linggo,i m in boston this coming week,naa ko sa boston sa umaabot nga semana
gusto mo ba na ilagay ko ito sa mesa,do you want me to put it on the table,gusto ba nimo nga ibutang nako ni sa lamesa
ikinasal kami pagkatapos ng anim na buwan,we got married six months later,gikasal mi pagkahuman sa unom ka bulan
sinara niya ang kanyang mga mata,he closed his eyes,gisarad an niya ang iyang mga mata
kainin mo ang sopas mo nang walang ingay,eat your soup quietly,kaona ang sopas nimo nga walay pagbanha
may araw ngunit mainit,there is sun but hot,naay adlaw pero init
akala ko sinabi ko sa iyo na huwag pumunta rito,i thought i told you not to come here,abi nako giingon nako sa imoha nga dili mag anhi dinhi
bumili ako ng isang pares ng botas,i bought a pair of boots,nipalit ko og usa ka pares sa botas
nobyo ni si bago niya nakilala si,was s boyfriend before she met,uyab ni si bag o pa niya nailhan si
pinunas ni ang mukha niya,wiped his face,gipahid ni iyang nawong
humupa ang bagyo,the storm subsided,nihunong ang bagyo
pumunta siya sa londres noong,he went to london in,niadto siya sa londres tong
dumating siya sa paaralan sa tamang oras,he came to school on time,niabot siya sa eskwelahan sa tama nga oras
ano ang tawag sa ibon na iyan,what is that bird called,unsay tawag anang langgama
ano ang mga pangunahing pangyayari kahapon,what were the main events yesterday,unsa ang una nga nahitabo kagahapon
naghihintay ako ng magandang balita mula sa kanila,i am waiting for good news from them,nagahulat ko og nindot nga balita gikan sa ilaha
isinauli mo ang damit dahil maliit talaga hindi ba,you returned the dress because it was too small didn t you,gibalik nimo ang sinina kay gamay gyud di ba
sampung taon na siyang patay,he s been dead for ten years,napo ka tuig na siya patay
iyon lang ba,is that all,kato lang ba
mapapagod ka,you will be tired,kapoyon ka
mananalo si sa larong ito,will win this game,modaog si aning bisyoha
may iilang panulat ako,i have some pens,naa koy maihap nga pangsulat
galing sa tsina ang tsaa,tea comes from china,gikan sa tsina ang tsaa
magkukuwento ako sa iyo tungkol sa kanya,i will tell you a story about him,ma istorya ko sa imoha tungkol sa iyaha
kasal siya sa isang dentista,she is married to a dentist,kasado siya sa usa ka dentista
gabi na talaga kaya kailangan ko na matulog,it s really late so i have to go to sleep,gabii na gyud kinahanglan na nako matulog
nahulog nang nahulog ang palaka,the frog fell down,nahog nga nahog ang palaka
ano ang dapat kong gawin para makinig ka sa akin,what do i have to do to get you to listen to me,unsa dapat akong himuon para maminaw ka sa akoa
huwag mong sabihin ang plano natin sa iba,don t tell anyone else about our plan,ayaw og iingon atong plano sa lain
natapos mo na ba ang takdang aralin mo,have you finished your homework,nahuman na ba nimo imong asaynment
pero ano ang iyong gagawin kung hindi siya pupunta rito,but what will you do if he doesn t come here,pero unsa imong buhaton kon di ka mag anhi diri
madali lang sagutin iyon,that s easy to answer,dali ra to tubagon
ano pa kaya ang pwede mong ibigay sa akin na wala pa ako,what else can you give me that i don t already have,unsa pa kaha ang pwede nimo ihatag sa akoa na wala pa ko
alam niya ang kanyang sariling kasalanan,he knows his own sin,kabalo siya sa iyang mismo nga sala
hindi namin sinasarhan ang aming mga pinto,we don t close our doors,di namo ginasarad an ang among mga pultahan
sabihin mo sa kanya kung saan siya dapat pumunta,tell him where he should go,ingna siya kon asa dapat siya mag adto
palaging tumatahol ang aso sa akin,the dog always barks at me,pirme mo uma ang iro sa akoa
kaya tumakbo ako sa restawran ng tatay ko,so i ran to my father s restaurant,maong nidagan ko sa restawran sa akong amahan
nakita ko ang asong maruming pumasok sa bakuran,i saw the dirty dog enter the yard,nakit an nako ang iro nga hugaw nga nisulod sa tanmanan
mas pipiliin ko ang katas ng pinya kaysa sa katas ng pomelo,i prefer pineapple juice over pomelo juice,mas pilion pa nako ang katas sa pinya kaysa sa katas sa pomelo
wala akong bisikleta,i don t have a bicycle,wala koy bisekleta
gusto mo ba ang san francisco,do you like san francisco,ganahan ka mag san francisco
ayaw ko ng mga gusali,i don t like buildings,di ko gusto ug mga bilding
pumupunta siya sa londres kada buwan,he goes to london every month,nagaadto siya og londres kada bulan
walang nakatago ang hindi makikita,nothing is hidden that cannot be seen,walay nakatago nga di makit an
may higit sa pitong libong wika sa buong mundo,there are more than seven thousand languages in the world,naay sobra pa ka pito ka libo nga sinulti an sa tibuok kalibutan
tinanong niya ako kung may web cam ako,he asked me if i had a web cam,gipangutana ko niya kon naa koy web cam
tinatanggap niya ang mga regalo,he accepts the gifts,ginadawat niya ang mga regalo
wala siyang bahay na mapagtitirhan,he has no house to live in,wala siyay balay nga mapuy an
mahalaga ang iyong pagkakaibigan,your friendship is important,importante inyong panag amigo
nagturo siya ng mayayamang babaeng indiyana,he tutored wealthy indian women,nagtudlo siya og datu nga mga babaye nga indiyana
tinulungan ninyo ako at gusto ko rin kayong tulungan,you helped me and i want to help you too,gitabangan ko ninyo ug gusto sad nako kamo tabangan
kita sa mukha niya na nainis siya,you can see in his face that he is annoyed,kita sa iyang nawong nga nasuya siya
ang trahediya ng digmaan ay hindi dapat kalimutan,the tragedy of war must not be forgotten,ang trahediya sa gubot dili dapat hikalimtan
kagaya kita noon,i was like you then,parehas ka nako sauna
hindi ako nakakasalita ng ibang wika,i don t speak another language,di ko nagastorya og lain nga sinulti an
hindi sanay si sa buhay sa lungsod,is not used to city life,di anad si sa kinabuhi sa lungsod
kuntento ka ba sa kasalukuyan mong sweldo,are you satisfied with your current salary,kontento ba ka sa sweldo nimo karon
gusto ko makita siyang naghuhubad,i want to see him undress,gusto nako makit an siya nga nagahukas
bigyan mo siya ng panahon,give him time,tagae siya og higayon
hindi ko trabaho iyan,that s not my job,di nako na tarbaho
wala akong pera,i don t have any money,wala koy kwarta
may umutot hindi ako iyon,someone farted that s not me,naay ni utot dili to ako
bumalik siya galing tsina,he came back from china,nibalik siya gikan tsina
tatanungin kita isa pang muli,i will ask you one more question,pangutanahon ta ka kaisa nalang
ang daming itlog sa kahon,there are many eggs in the box,daghang itlog sa kahon
ngayon ay mas matanda at marunong na siya,now he is older and wiser,karon kay mas tigulang ug mas kabalo na siya
nahulog siya at nasaktan ang kanyang binti,he fell and hurt his leg,nahog siya ug nasamaran iyang batiis
nagbabasa siya ng dyaryo kada umaga,he reads the newspaper every morning,nagabasa siya og dyaryo kada buntag
may nakita akong dalawang lalaking naghahalikan sa pasilyo,i saw two men kissing in the hallway,naa koy nakit an nga duha ka laki nga naghadok sa agi anan
kailangan kong alagaan ang mga bata ngayong gabi,i have to take care of the kids tonight,kinahanglan nako atindiron ang mga bata karong gabii
lahat ng mga kuwento ay interesante,all stories are interesting,tanan og storya kay nindot
nahulog at namatay ang ibon,the bird fell and died,nahog og namatay ang langgam
hindi kita marinig,i can t hear you,di ta ka madunggan
muntik ko na makalimutan,i almost forgot,hapit nako malimtan
pinapatawa mo talaga ako,you really make me laugh,ginapakatawa gyud ko nimo
inistorbo namin siya,we disturbed him,giistorbo namo siya
nagbabasa ang lahat,everyone reads,nagabasa ang tanan
gusto ko lamang matulog,i just want to sleep,gusto ra nako matulog
hindi ko alam ang salitang iyan,i don t know that word,wa ko kabalo ana nga pangsulti
sa atin lamang dalawa nahulog ba ang loob mo para sa aking kapatid na babae,just the two of us do you have a crush on my sister,sa atoa ra duha nahog ba imong pagbati sa akong manghod nga baye
pero ang sansinukob ay walang hanggan,but the universe is eternal,pero ang paghinigugmaay kay walay katapusan
nagtatrabaho siya sa gabi,he works at night,nagatarbaho siya sa gabii
ipapaliwanag ko ang lahat mamaya,i will explain everything later,iistorya na nako tanan unya
ikaw ang siyang dapat magdesisyon sa kung anong dapat gawin,you are the one who should decide what to do,ikaw dapat magdesisyon sa kon unsa dapat buhaton
natutulog pa siya,he is still sleeping,natog pa siya
wala akong apat na kapatid na babae,i don t have four sisters,wala koy upat nga lumon nga baye
hindi ka dapat maging sobrang mapili sa pagkain,you should not be too picky about food,di ka angay mahimong pilian sa pagkaon
ang kanyang anak na babae ay isang nars,his daughter is a nurse,ang iyang anak nga baye kay usa ka nars
pinayuhan ako ng doktor na huwag kumain nang sobrang marami,the doctor advised me not to eat too much,giingnan ko sa doktor nga dili mokaon og daghan kaayo
ano ang sasabihin mo para kumbinsihin siyang bumili ng isa,what would you say to convince him to buy one,unsa ang imong iingon aron kombinsihon siya nga mopalit og isa
hindi ko sinadya,i didn t mean to,wa nako tuyoa
hindi mo palaging naiintindihan,you don t always understand,di nimo pirme masabtan
ang tren na aking sinakyan ay umalis sa kyoto nang alas seis at dumating sa tokyo nang alas nwebe,the train i took left kyoto at six o clock and arrived in tokyo at nine o clock,ang tren nga akong gisakyan kay nilakaw sa kyoto og alas sais ug niabot og tokyo og alas nwebe
napagod akong magbasa,i m tired of reading,gikapoy ko og basa
kumakain ka sa silid aralan,do you eat in the classroom,nagakaon ka sa eskwelahan
may siyam na mga planeta ang araw,the sun has nine planets,naay siyaw ka mga planeta ang adlaw
ito ay almusal,it s breakfast,kani kay pamahaw
masasarap ang kanilang mga keyk,their cakes are delicious,lami ang ilang mga keyk
sa tingin mo may magandang panahon tayo bukas,do you think we will have good weather tomorrow,sa pagtuo ba nimo maayo ang panahon nato ugma
nagbibiro ka,you re joking,nangatik ka
natatakpan ng putik ang aso mula ulo hanggang paa,the dog was covered in mud from head to toe,natabunan sa lapok ang iro gikan ulo hangtod sa paa
ang batang babae iyon na mahaba ang buhok ay si judy,that girl with long hair is judy,kato nga bata nga babaye nga tag as og buhok kay si judy
huwag mo ilagay iyan sa mesa ko,don t put that on my desk,ayaw na ibutang sa lamesa nako
natanggap ko ang regalo para sa aking kaarawan,i received the present for my birthday,nadawat nako ang regalo para sa akong adlaw nga natawhan
masama ang pakiramdam ko kapag gumigising ako sa umaga,i feel bad when i wake up in the morning,lain sa pamati nako pag bag o kong mata sa buntag
bigyan mo ako ng isang dahon ng papel,give me a sheet of paper,tagae ko og usa ka dahon nga papel
bigyan mo ako ng kopya ng aklat na ito,give me a copy of this book,tagae ko og kopya ani nga libroha
hindi tumawag si,didn t call,wala nitawag si
binibigyan niya ang lahat na kanyang hinihingi,he gives everything he asks for,ginatagaan niya ang tanan niya nga ginapangayo
hindi ko binasa ang bagong nobelang ito kahit ang kapatid kong babae ay hindi rin,i haven t read this new novel neither has my sister,wala nako gibasa ning bag o nga nobela bisan akong lumon nga babaye wala sad
ang sagot mo y tama,your answer is correct,ang tubag nimo kay tama
