tagalog,english,cebuano
ayokong pumasok eskwela,dont want go school,mosulod eskwela
naging independiyente marte tiyera mula taon nakalipas,mars independent tiyera since years ago,nahimong makinaugalingon marte tiyera adtong tuig milabay
populasyon labas tiyera lumampas tiyera mula taon nakalipas,population outside tiyera exceeded tiyera since years ago,kamulupyohan gawas tiyera milampas tiyera sukad niadtong tuig milabay
dakilang relihiyon marte budismo,great religion mars buddhism,bantogan relihiyon marte budismo
nagsasamba marsiyano kanilang templo,martians worship temple,naga simba marsiyano templo
malaking industriya paggawa berdeng keso kolonya buwan,green cheese production large industry moon colony,dako industriya pagbuhat lunhaw keso kolonya bulan
masasarap pagkain restawran barsoom,meals restaurants barsoom delicious,lamian pagkaon restawran barsoom
paborito planeta sistemang solar,favorite planet solar system,paboritong planeta sistemang solar
hugo gumamela totong,totong wanted hugo gumamela,gata gumamela totong
maraming alagang kambing totong bukid,totong many goats farm,adunay daghang binuhing kanding totong bukid
nagkalesa budistang papuntang templo,buddhists took chariot temple,nagkalesa budista padulong ilahang templo
republika maharlika budismo relihiyon,royal republics religion buddhism,budismo relihiyon republika maharlika
maraming templo republika maharlika,many temples royal republic,adunay daghang templo republika maharlika
pagitan lungsod republika maharlika gubat bukid,cities royal republic forests fields,taliwala lungsod republika maharlika adunay lasang kabukiran
niyang kumain pitsa dalampasigan,wants eat pizza beach,gapangadoy mukaon pitsa baybayon
niyang kumain pitsang halamang dagat,prefers eat pizza seaweed,ganahan mukaon pitsa adunay guso
masarap pitsang halaan tahong ibabaw,pitas halaa mussels top tastier,lami pitsa adunay halaan tahong babaw
maraming kabuti totong pitsa,totong likes lot goodness pizza,ganahan totong daghang uhong pitsa
tengangdaga totong pitsa,totong likes pizza rat ears,dalunggan ilaga ganahan totong pitsa
pugita totong pitsa,totong likes squid pizza,kugita ganahan totong pitsa
kugita totong pitsa,totong likes squid pizza,kugita ganahan totong pitsa
tinatandaan aksento karaniwang sinusulat kudlit,accent remembered usually written without apostrophes,ginatimanan tonada tungod kasagaran kining ginasulat kudhit
ruso karaniwang sinusulat kudlit aksento,like russian apostrophes accent usually written,susama ruso tungod kasagaran ginasulat kudhit alang tonada
binati dodong totong harap bahay,dodong greeted totong front house,giabiabi dodong totong atubangan balay
maraming olibo totong pitsa,totong likes lot olives pizza,daghang olibo ganahan totong pitsa
palaging nagsasabi totoo,doesnt always tell truth,kanunay gasturya tinuod
maghugas kamay bago humawak pagkain,wash hands handling food,hugas daan kamot bago mugunit pagkaon
mayroon haykap galing kalawakan,fan outer space,bay haykap kawanangan
tingin pagpapanuod ordinaryong telebisyon trabaho,think watching ordinary television work,panglantaw pagtanaw ordinaryong telebisyon trabaho
seramik bubong totong kumikislap araw,totongs roof ceramic sparkles sun,seramiko atop totong gapangsidlak adlaw
umiinom basong sarsaparilya enrico,enrico drinking glass sarsaparilla,gainom baso sarsaparila enrico
palibot kastilyo maraming halaman,around castle many plants,palibot kastilyo adunay daghang tanom
isla dagat,islands sea,adunay isla dagat
babae kayong takot pusa,women afraid cats,babae hadlukan iring
akala ninyoy marumi buhok,thought hair dirty,nagtuo hugaw inyong buhok
nahihinaan wika,weak language,nahuyangan inyong sinultian
akala tae,think shit,mura mog tae
takot pusa,afraid cats,hadlok iring
nalulungkot relihiyon,sad religion,nasubo tungod inyong relihiyon
lolo wika,speak like grandfather,sama tigulang lalake pinulungan
masyadong intelihente,intelligent,maalamon
mahal diyos,god love,higugmaa ginoo
naiintindihan buong daigdig wika,whole world understands language,nasabtan tibuok kalibutan pinulungan
,,
takot astronomiya,also afraid astronomy,mahadlokon sab astronomiya
buong rasa ninyoy simbolo retribusyon,whole race symbol retribution,inyong tibuok kaliwat nagpatimaan pagsilot
simbolo metapora,symbol metaphor,larawan sambingay
naging tamad katauhan,personality become lazy,nahimong tapulan persona
akala nilay tao,thought human,nagtuo tao
manedyer,dont manager,magdudumala
inuutusan,ordered,ginasugo
bayad,paid,bayad
pangit relihiyon,religion ugly,ngilad inyong relihiyon
naging alila hayop,become slave animals,nahimo sulugoon hayop
tiwala katauhan daigdig,trust people world,silay pagsalig katawhan kalibutan
ginagamit manuwal sikolohiya,oh use psychology manual,ilahang ginagamit manwal sikolohiya
tao,human,tao
pinalaya ibon,freed bird,gibuhian langgam
isip moy trabaho manuod telebisyon,think everything work watch television,hunahuna trabaho baylo paglantaw telebisyon
isip moy trabaho puwera manuod telebisyon,think everything work except watching television,hunahuna trabaho gawas paglantaw telebisyon
nasasarapan sarili nilang propaganda,enjoy propaganda,naganahan kaugalingong propaganda
akala nilay importante opinyon tao nagpropropaganda,thought everyones opinion important propagated,nagtuo importante panahom tanang katawhan propaganda
buong daigdig kulungan pakalawakan,whole world like prison space needed,tibuok kalibutan masusama prisohan busa kawanangan
tingin masyadong apektado tao propaganda,think people affected much propaganda,panglantaw apektado tawo propaganda
makaagham propaganda sinusukat kabisahan,propaganda scientific measure memorization,makasensya ilahang propaganda tungod sukda kaalam
random epek propaganda,effect propaganda seems random,sinalagma epekto ilahang propaganda
nagiingles silay umiiyak,speak english like theyre crying,mamulong silag ingles mura silag gahilak
relihiyon,religion,silay relihiyon
nilang relihiyon,dont want religion,ganahan silay relihiyon
matagal nawalan relihiyon,lost religion long time ago,hagbay nawalan relihiyon
nakabilanggo tao daigdig pagsasaliksik kalawakan,imprisoned world space research necessary,piniriso tao niining kalibutana maong panukiduki kawanangan
maraming ilog pransya,many rivers france,daghang suba pransya
kumain restawran magisa,ever eaten restaurant alone,mikaon restawran
kalungkutan ninyong magbati,want sadness dont want congratulate,tungog makigdait usagusa kasubo inyong gipili
siguro nananagarilyo tapat kompyuter,maybe fiddling front computer,tingali gasigarilyo atubangan kompyuter
parati ninyong pinaguusapan,keep talking,pirme
masyado relihiyosa,religious,sobra relihiyosa
roon hapon iba pangalan,japan different,hapon tungod lahi pangalan gigamit
ninyong maging matanda,want old,nangandoy mamahimo edaran
ninyong obligasyon matanda,want obligations like old,ganahan obligasyon susama edaran
kapitbahay kayong matatanda,neighbors like look old,ganahan silingan tungod mura edaran
basta magpromot relihiyong mabuti inyo,promote religion better,basta pagpausbaw relihiyon maayo inyo
bagay inyo tradisyunal ninyong relihiyon,seems traditional religion suit,inyo inyuhang naandan relihiyon
pagsusulat ingles gamot aburido,writing english medicine aburido,pagsulat ingles maoy tubag nabalaka
akala mayaman europa,thought europe rich wasnt,nagtuo dato europa
nawala mahiya buhay,shame disappeared life,nawagtang kaulaw inyong kinabuhi
nawala salamangka buhay,magic gone life,nawagtang lingla inyong kinabuhi
nawala madyik buhay,magic gone life,nawagtang mahika inyong kinabuhi
malungkot relihiyon,sad dont like religion,masubanon tungod ilahang relihiyon
ganang kumain mansanas,dont want eat apples anymore,silay kahinam mukaon mansanas
umiinom tasa tsokolate labas kastilyong bato,drinking cup chocolate outside stone castle,gainom tasa tsokolate gawas kastilyo gama bato
naghihintay malaking katastrope nabuwibuwisit buhay,waiting big catastrophe getting tired lives,gahuwat dakong katalagman tungod napulan kinabuhi
pera pera pera iniisip,think money money money,kwarta kwarta kwarta nalang hunahuna
naging robot,became robots,nahimo robot
malungkot nilang tumira malayong bansang mayaman,sad want live far richer country,masubanon tungog nangandoy mupuyo layong lugar dato
nilang isipin robotrobot,dont want think robots,hunahunaon robotrobot
tinapos pitsa papuntang sentro,finished pizza going center,iyahang gihurot iyahang pitsa tungod muadto sentro
nagpipintura tanaw bukid labas bahay,painting view farm outside house,nagpintal laraw bukid gawas balay
tinik dibdib,thorns chest,adunay tunok dughan
luha salita,tears words,adunay luha ilahang pulong
parati nakasimangot,always frowning,pirme nagmugot
jhong budismo relihiyong pinagaralan,jhong preferred buddhism among religions studied,tanang relihiyong natunan jhong ganahan budismo
nagaral bing relihiyong animista,bing studied animist religions,nagtuon bing relihiyong animista
mamatay ibang lalawigan laniakea papunta,dies going another province laniakea,mamatay laing probinsya laniakea padulngan
langit ibang lalawigan laniakea,province laniakea like heaven,sama langit ubang probinsya laniakea
solidong ilusyon buong laniakea,laniakea solid illusion,sumpok ilusyon tibuok laniakea
labas laniakea,whats outside laniakea,gawas laniakea
tipiko lalawigan laniakea,province laniakea typical,tipikal probinsyang laniakea
katauhan unggoy nageebolb,humans still apes still evolving,katawhan unggoy padayon nagalambo
katauhan matsing nageebolb,humans still young developing,katawhan unggoy padayon nagalambo
tama afghanistan dito,right afghanistan,sakto sama afghanistan
dominante kaliwang utak,left brain dominant,dominante parte ilahang utok
kontrol kaliwang utak kanan katawan kanang utak kaliwa katawan,left brain controls right side body right brain controls left side body,kontrolado parte utok tuo parte utok tuo parte utok kontrolado parte lawas
uminom berdeng tsa hardin niyang puno gumamela,drank green tea gumamela garden,naginom lunhaw tsa hardin niyang napuno gumamela
araw zamenhof maligaya kaming esperantisto,zamenhof day esperantists happy,adlaw zamenhof malipayon kaming esperantisto
araw zamenhof kumain pitsa selebrasyon,zamenhofs day ate pizza celebrate,adlaw zamenfor mikaon pitsa alang kasaulogan
berdeng keso loob tinapay,green cheese inside bread,lunhaw keso sulod pan
berdeng rosas paligid hardin bing,green roses around bings garden,lunhaw rosas palibot hardin bing
berdeng rosas mutasyon,green rose mutation,lunhaw rosas mutasyon
nagaaral dodong klingon klase dramatika,dodong studying klingon drama class,nagtuon dodong klingon alang klase dramatika
kailangang magbati arawaraw,say hello every day,makig abiabi adaw
magbati magbati aburido,want say hello youre bored,ganahan abiabi tungod magulanon
natutunan ben paggawa apoy gamit posporo,ben learned make fire without matches,nakakaton bensa pagmugna kalayo pina agi posporo
mali calculator,something wrong calculator,adunay sayop igalkulo
tingin mananatili,think stay,pananaw magpabilin
burj khalifa pangkasalukuyang pinakamataas gusali mundo,burj khalifa current tallest building world,burj khalifa pagkaakaron inilang kinatasang dakbalay tibuok kalibutan
mayroong isla dagat,islands sea,adunay pulo dagat
naiinggit mayaman,jealous richer,nasina taw labaw dato
wika kulubot wika,language like language wrinkles,ilahang pinulungan sama pinulungan kulubot
naiintindihan ibig sabihin kayamanan,understand meaning wealth,masabti kahulogan bahandi
nalalamigan salita wika,get cold words language,nabugnawan pulong pinulongan
nilang magkaanak katapusan pagod pagod,dont want children want end tired,mangandoy magkaanak ganahan mahuman tungod gikapoy maayo
gubat wagalang puno sinagbunga,forest wagalang fruit trees,lasang wagalang adunay punoan sinagbunga
magandang umaga,good morning,maayong buntag
lungkot lungkot,sad,masubanon
nilang basahin obra talakong planetang mimeng,want read works talakong planet mimeng,ganahan basahon buhat talakong lawangitang mimeng
binabasa sulat saratok planetang sengkong,reading letters saratok planet sengkong,gina basa suwat saratok lawangitang sengkong
relihiyoso tao bundok,mountain people religious,relihiyoso katawhan bukid
nagpuputo lina kusina,lina cooking kitchen,puto lina kusina
nagpapandesal pedro kusina,pedro praying kitchen,pandesal pedro kusina
nagpapansit celeste kusina,celeste making noodles kitchen,pansit celeste kusina
nagaadobo ben kusina,ben pickled kitchen,adobo ben kusina
nagkukutsinta enrico kusina,enrico making love kitchen,kutsinta enrico kusina
nagkakalamay nida kusina,nida shaking hands kitchen,kalamay nida kusina
gumagawa nilupak wesley kusina,wesley making pottery kitchen,gama nilupak wesley kusina
gumagawa sans rival crystal kusina,crystal makes sans rival kitchen,gama sans rival crystal kusina
nagluluto bangus dindo kusina,dindo cooking bangus kitchen,luto bangus dindo kusina
nagpopolboron ebyang kusina,ebyang whispering kitchen,polboron ebyang kusina
nagleletseplan binda kusina,binda cooking kitchen,letseplan binda kusina
gumagawa tocino de cielo nerria,nerria makes tocino de cielo,gama tocino de cielo nerria
nagsasansribal calla kusina,calla arguing kitchen,sanribal calla kusina
gumagawa apol dyus tria kusina,tria making apple juice kitchen,gama apol dyus tria kusina
gumagawa pitsipitsi gina kusina,gina making lace kitchen,gama pitsipitsi gina kusina
nagpapalitaw tony kusina,tony pacing kitchen,nagpalitaw tony kusina
nagsasandwits marco,marco sandwich,sandwits marco
naghahamburger anna restawran,anna eating hamburger restaurant,hamburdyer anna restawran
nagkakape francis kapehan,francis coffee cafe,nangape francis kapehanan
nagtsatsa mirabel tsahan,mirabel sipped tea,tsa mirabel tsaahanan
kumain kakanin,wants eat something,mukaon kakanin
andres kumain nilupak,andres wants eat nipulak,andres mukaon nilupak
kumakain wanda kalderetang kambing,wanda eats goat meat,nagkaon wanda kinaldereta kanding
naglolongganisa bambam kusina,bambam messing around kitchen,longganisa bambam kusina
nagtotosino olaf kusina,olaf scrounging kitchen,tosino olaf kusina
nagtsatsampurado ramon kusina,ramon busy kitchen,champurado ramon kusina
naglilitson ronny hardin,ronny roasting garden,lechon ronny hardin
naghahalohalo karl kusina,karl messing around kitchen,halohalo karl kusina
nagsasalabat sandy kusina,sandy messing around kitchen,salabat sandy kusina
naghahotdog emma kusina,emma making hotdogs kitchen,buhat hotdog emma kusina
nagpapopcorn eli kusina,eli making popcorn kitchen,buhat popcorn eli kusina
nagsosoftdrink kyle kusina,kyle drinking soft drink kitchen,inom softdrink kyle kusina
nagtetennis likod marta lina,marta lina playing tennis back,nagduwa tennis likod marta lina
nagdyajogging siyudad,went jogging city,jogging dakbayan
nagsyashampoo mindy banyo,mindy shampooed bathroom,nanyampo mindy kasilyas
nagtataco vinny restawran,vinny eating tacos restaurant,nagkaon taco teddy restawran
nagiispageti teddy restawran,teddy eats spaghetti restaurant,nagkaon ispagetti teddy restawran
nagdidinuguan randy kusina,randy bleeding kitchen,dinuguan randy kusina
nagbubuko sam dalampasigan,sam lying beach,namutong sam baybay
nagpupusit danny dalampasigan,danny peeing beach,namusit danny baybay
nagkikinilaw wally jerry dalampasigan,wally jerry frolicking beach,nagkilaw wally jerry baybay
nagkikilawin wally jerry dalampasigan,wally jerry frolicking beach,nagkilawin wally jerry baybay
nagtitinapay kape kusina,making bread coffee kitchen,nangkaon pan nangape kusina
nagkekeso tinapay jenny kusina,jenny making cheese bread kitchen,nagkaon pan adunay keso jenny kusina
nagmamantikilya tinapay quincy,quincy butters bread,naga mantikilya pan quincy
nagpipizza marisol johnny,marisol johnny pizza,nangaon pizza marisol johnny
nagsusushi taro hanako,taro hanako eating sushi,nangaon sushi taro hanako
nagsasashimi erwin,erwin eating sashimi,nangkaon sashimi erwin
nagsosausage rikki,rikki making sausages,nagkaon sausage rikki
nageempanada luis,luis made empanadas,nagkaon empanada luis
nageensaymada alex,alex enzymada,ensaymada alex
naglalaing gabi,gabi crying,naglaing gabi
nagtsatsampoy celia,celia sighed,nagtsampoy celia
nagtotokwat baboy lester,lester pretends pig,nagkaon tokwa babo lester
nagsusuman oswaldo,oswaldo laughed,himo uogsuman oswaldo
nagsasapinsapin zoe,zoe layering,himo sapinsapin zoe
nagtsitsitsaron benny,benny whistled,chicharon benny
nagpapaksiw dominic,dominic fun,nagluto paksiw dominic
nagkakarate bata garahe,kids play karate garage,karate bata grahe
nagaalmusal kusina,breakfast kitchen,namahaw kusina
nagtatanghalian kusina,lunch kitchen,naniudto kusina
naghahapunan kusina,dinner kitchen,nanihapon kusina
nagkekeso nikki kusina,nikki making cheese kitchen,keso nikki kusina
nagpuputo bumbong ale kalye,ale street overflowing,nagabuhat puto bumbong manang kalsada
nagpuputo maya nellie kusina,nellie cooking kitchen,puto maya nellie kusina
nagpuputo bian penelope kusina,penelope cooking bian kitchen,puto bian penelope kusina
nagaampaw tonya kusina,tonya kitchen,ampaw tonya kusina
nagsiyosiyopaw vincent kusina,vincent pacing kitchen,siopao vincent kusina
naniniwala vincent punsoy,vincent believes punsoy,mutuo vincent punsoy
naglulumpiya katrina kusina,katrina wrestling kitchen,lumpia katrina kusina
nagtsotsokolate beranda,eating chocolate porch,tsokolate beranda
naggagatas timmy kape,timmy milk coffee,naga gatas timmy kape
nagaasukal timmy kape,timmy drink sugar coffee,naga butang asukal timmy kape
nagkakanela vincent kape,vincent cinnamon coffee,naga kanela vincent kape
nagsisinamomo vincent kape,vincent pleading coffee,naga sinamon vincent kape
yatsuhashi pasalubong vincent galing hapon,yatsuhashi vincents welcome japan,yatsuhashi gasa vincent hapon
magaganda kahon hapon,japanese boxes beautiful,maanindot kahon hapon
magaganda aklat hapon,japanese books beautiful,maanindot libro hapon
nagsisinangag raul kusina,raul cooking kitchen,sangag raul kusina
nagninilagang mina kusina,mina tending cows kitchen,laga mina kusina
nagtatapa oliver kusina,oliver cooking kitchen,tapa oliver kusina
nagtatabasco omelette,tabasco omelette,tabasco omelette
nagrerelyenong talong kusina,eating eggplant kitchen,relyeno talong kusina
nagrerelyenong sili kusina,cooking chili kitchen,relyeno sili kusina
nagtutuba lalaki dalampasigan,men swimming beach,nanuba laki baybay
naguube kusina tyler,tyler messing around kitchen,ube kusina tyler
puno ube plato taro,taros plate full pears,napuno ube plato taro
nagmamacaroni nelia kusina,nelia making macaroni kitchen,macaroni nelia kusina
nagprufruit salad mel kusina,mel making fruit salad kitchen,fruit salad mel kusina
nagbubuko salad mel kusina,mel making salad kitchen,buko salad mel kusina
nageeclair clara kapeterya,clara eating eclairs cafeteria,eeclair clara kapeterya
naglilimunada rex kapeterya,rex walking cafeteria,buhat dyus gama lemonsito rex kapeterya
nagaaysti larry kapeterya,larry acting cafeteria,aysti larry kapeterya
nagbabarbekyu jeff hardin,jeff barbecue garden,barbeque jeff tanaman
nagkocotton candy nancy tapat kalye,nancy selling cotton candy across street,naga buhat cotton kendi nancy kalsada
nagbubble tea charlie siyudad,charlie bubble tea city,bubble tea charlie dakbayan
nagkape zack kapeterya,zack coffee cafeteria,nangape zack kapeterya
nagseserbesa barkada duane dalampasigan,duanes friends drinking beer beach,inom ilimnong makahubog amigo duane baybay
nagkekeyk bisita gina,guests cake,nangaon keyk bisita gina
nagbuko pandan salad bisita gina,guests made pandan salad,nangaon buko pandan salad bisita gina
nagbiko bisita gina,guests cheered,nangaon biko bisita gina
nagkutsinta bisita gina,guests fell love,nangaon kutsinta agng bisita gina
nagpalitaw bisita gina,guests show,nangaon palitaw bisita gina
nagputo bisita linda,lindas guests blast,nangaon puto bisita linda
nagbuko salad bisita sally,guests made salad,nangaon buko salad bisita sally
nagtsampurado bisita sally,guests spoiled,nangaon champurado bisita sally
nagpitsipitsi bisita wanda,wandas guests crowded around,nangaon pitsipitsi bisita wanda
magpalitaw kusina,get started kitchen,pangaon palitaw kusina
magletseplan kusina,get busy kitchen,pangaon letseplan kusina
magpitsipitsi kusina,get tight kitchen,pangaon pitsipitsi kusina
magkutsinta kusina,make love kitchen,pangaon kutsinta kusina
magpansit kusina,make noodles kitchen,pangaon pansit kusina
magbuko pandan kusina,kneel kitchen,pangaon buko pandan kusina
magpusit kusina,sneak kitchen,pangaon pusit kusina
magputo muna salas,go living room first,pangaon puto sala
magkape muna salas,coffee living room first,pangape sala
magtsa muna salas,go living room first,panginom sala
magtsokolate muna salas,chocolate living room first,panginom tsokolate sala
magsalabat muna salas,go living room first,panginom salabat sala
magensaymada muna salas,enzymada living room first,pangaon ensaymada sala
magempanada muna salas,make empanadas living room first,pangaon empanada sala
magmeryenda muna beranda,snack porch first,pamainit beranda
magcalamansi juice muna beranda,drink calamansi juice first porch,panginom dyus lemonsito beranda
maggreen mango juice muna beranda,green mango juice first porch,panginom dyus hilaw mangga beranda
magbubble tea palengke,lets bubble tea market,manginom bubble tea palengke
magbubble tea siyudad,lets bubble tea city,manginom bubble tea dakbayan
magkalamay muna salas,lets hold hands living room,mangaon kalamay sala
magube cake muna salas,lets ube cake living room,mangaon ube keyk sala
magsapinsapin muna beranda,layer porch first,mangaon sapinsapin beranda
magtocino de cielo muna salas,lets tocino de cielo living room,mangaon tocino de cielo sala
magturrones de casuy muna beranda,lets turrones de casuy porch,mangaon turrones de casuy beranda
magtamales muna beranda,lets chat porch first,mangaon tamales beranda
magmango cake muna salas,lets mango cake living room,mangaon keyk gama mangga sala
magmorcon kusina,lets fun kitchen,mangaon morcon kusina
magembutido muna kusina,lets get kitchen first,mangaon embutido kusina
magtaro cake muna kusina,lets make taro cake first kitchen,mangaon keyk gama taro kusina
maghalohalo shopping mall,lets mingle shopping mall,mangaon halohalo mall
magpilipit tsokolate muna beranda,lets curl chocolate porch,mangaon pilipit manginom tsokolate beranda
nelia pilipit tsa meryenda,nelia prefers pilipit tea snacks,ganahan nelia pilipit tsa pamainit
veronica pilipit tsokolate meryenda,veronica prefers twists chocolates snacks,ganahan veronica pilipit tsa pamainit
terry turrones de casuy,terry prefers turrones de casuy,ganahan terry turrones de casuy
mork pastilyas,mork prefers pastillas,ganahan mork pastillas
karl queso de bola,karl prefers queso de bola,ganahan karl keso de bola
drake suman,drake prefers suman,ganahan drake suman
henrik tapsilog,henrik prefers tapsilog,ganahan henrik tapsilog
joel adosilog,joel prefers adosilog,ganahan joel adobosilog
joel bacsilog,joel prefers bacsilog,ganahan joel bacsilog
joel bangsilog,joel prefers bangsilog,ganahan joel bangsilog
joel tosilog,joel prefers tosilog,ganahan joel tosilog
joel longsilog,joel prefers landslide,ganahan joel longsilog
kumain tapsilog mark,mark ate snack,mikaon tapsilog mark
kumain bangsilog mark,mark ate bangsilog,mikaon bangsilog mark
kumain adosilog mark,mark ate dosilog,mikaon adosilog mark
kumain chosilog mark,mark ate chosilog,mikaon chosilog mark
kumain longsilog mark,mark ate landslide,mikaon longsilog mark
nagluto tapsilog wally,wally cooked tapsilog,nagluto tapsilog wally
nagluto bangsilog wally,wally cooked bangsilog,nagluto bangsilog wally
nagluto adosilog wally,wally cooked adosilog,nagluto adosilog wally
nagluto chosilog wally,wally cooked chosilog,nagluto chosilog wally
nagluto longsilog wally,wally cooked longsilog,nagluto longsilog wally
magluluto tapsilog quincy,quincy cook tapsilog,magluto tapsilog quincy
magluluto bangsilog quincy,quincy cook bangsilog,magluto bangsilog quincy
magluluto adosilog quincy,quincy cook adosilog,magluto adosilog quincy
magluluto chosilog quincy,quincy cook chosilog,magluto chosilog quincy
magluluto longsilog quincy,quincy cook longsilog,magluto longsilog quincy
nagluluto tapsilog josh,josh cooking tapsilog,galuto tapsilog josh
nagluluto bangsilog josh,josh cooking bangsilog,galuto bangsilog josh
nagluluto adosilog josh,josh cooking adosilog,galuto adosilog josh
nagluluto chosilog josh,josh cooking chosilog,galuto chosilog josh
nagluluto longsilog josh,josh cooking longsilog,galuto longsilog josh
magluto litsilog,cook litsilog,pagluto litsilog
nagluluto dexter tosilog kusina,dexter cooking tosilog kitchen,galuto dexter tosilog kusina
kumakain dexter tosilog kusina,dexter eating tosilog kitchen,gakaon dexter tosilog kusina
morgan tosilog tapsilog,morgan prefers tosilog tapsilog,ganahan morgan tosilog kumpara tapsilog
kumakain morgan tosilog komedor,morgan eats tosilog dining room,gakaon morgan tosilog komedor
kumakain morgan tosilog kakanan,morgan eats tosilog right,gakaon morgan tosilog kakanan
kumakain morgan tosilog silidkainan,morgan eating tosilog dining room,gakaon morgan tosilog kananan
kumain morgan tosilog komedor,morgan ate tosilog dining room,gakaon morgan tosilog komedor
umiiyak lasing tabi kalye,drunk people crying side street,mihilak hubog daplin kalsada
umiiyak drogista tabi tindahan,druggists crying next store,mihilak adik daplin tindahan
umiiyak matatanda paradahan awto,old people crying car park,mihilak tigulang paradahan sakyanan
nalalamigan matatanda salita wika,old people get cold words language,gibati kabugnaw tigulang pulong pinulongan
isip nilay kuwenta buhay,think lives worthless,hunahuna pulos kinabuhi
nagpaalam bata matatandang galing ibang bayan,children said goodbye elders towns,nanamilit batasa tigulang laing lungsod
malungkot magamit kanilang guniguni,sad cannot use imagination,masubanon tungod magamit ilahang handuwaran
malungkot pobre salita kanilang diyalekta,sad words seem poor dialect,masubanon tungod mura kuno kabos pamulong ilahang dayalekto
malungkot nilang magmukhang mayaman tingin kanilang kapitbahay,sad want look rich eyes neighbors,masubanon tungod mahimong adunahan pananaw silingan
magmukhang mayaman importante tanga,looking rich important stupid,mahimong adunahan importante tanga
naging alila kanilang sariling mahigpit emosyon,became slaves rigid emotions,nahimo ginapos kaugalingong higpit pagbati
binato tinapay matandang humihingi limos ngunit nakailag matanda,bread thrown old asking alms old escaped,gilabayan pan tigulang nangayo limos apan ikyas
pambubuska iwasan halip paggalang ibigay kapwa,avoid digging instead give respect others,angayan likayan pagpang husga isig katawo apan labawng maayo muhatag pagtahod
wika bansa pagyamanin sapagkat kaluluwa lahi,language country must enriched soul race,pinulongan nasod palambuon tungod kalag kaliwatan
mabatid aking magulang aking grado ngayong kapat,parents know grades quarter,mahibalan ginikanan grado semestre
gamitin guniguni,use imagination,gamita handurawan
guniguni hawla,delusional cage,handurawan tangkaw
ibong hawla guniguni,like bird cage illusions,sama langgam tangkaw taw handurawan
reptilya hawla guniguni,illusionist like reptile cage,sama mananap nagkamang tangkaw taw way handurawan
napakaimportante guniguni arawaraw buhay,imagination important everyday life,importante handurawan adlawadlaw kinabuhi
pirasong mansanas salita kyle,kyles words like pieces apple,sama bahin mansanas pulong kyle
parati,always,pirme nalang hisgot
naging dinosawro wika,language become dinosaurs,nahimong dinasawro pinulungan
namang kuwenta pagaaral kanilang wika,point learning language,gihapoy pulos pagtuon pinulongan
maayos sans rival,sans rival fine,maayo sans rival
maayos sapinsapin,layers fine,maayo sapinsapin
maayos siyopaw,well,maayo siyopaw
maayos hopya,hopia fine,maayo hopya
maayos salabat,answered well,maayo salabat
maayos tsokolate,chocolate fine,maayo tsokolate
maayos keso,cheese fine,maayo keso
maayos pilipit,twist fine,maayo pilipit
maayos pandesal,pandesal fine,maayo pandesal
maayos limunada,lemonade fine,maayo lemonada
maayos tsampoy,shampoo fine,maayo tsampoy
maayos tsampurado,hes good mood,maayo tsampurado
maayos leche flan,leche flan good,maayo leche flan
maayos buko pandan salad,pandan salad fine,maayo buko pandan salad
maayos ube keyk,ube cake good,maayo keyk gama ube
maayos mango cake,mango cake good,maayo keyk gama mangga
maayos kalamansi dyus,lime juice fine,maayo dyus gama lemonsito
maayos buko dyus,knuckles fine,maayo dyus gama butong
maayos tsa,tea fine,maayo tsa
maayos kape,coffee good,maayo kape
maayos adobo,pickle fine,maayo adobo
maayos sinangag,shield fine,maayo sinangag
maayos nilagang,beef stew good,maayo nilatang
maayos kutsinta,clothes fine,maayo kutsinta
kumakain vhon espasol,vhon eats espasol,gakaon vhon espasol
vhon bicol express,vhon prefers bicol express,ganahan vhon bicol express
gumawa benny espasol,benny made spoon,naghimo benny espasol
gumagawa benny espasol,benny making spoon,gahimo benny espasol
gagawa benny espasol,benny make spasol,maghimo benny espasol
paborito vincente espasol,vincentes favorite espasol,ampay vicente espasol
loob taro espasol,pods inside taro,sulod taro espasol
loob tapayan espasol,spasols inside oven,suod tapayan espasol
loob banga espasol,spasols inside jar,sulod banga espasol
espasol pasalubong rikki galing probinsiya,rikkis welcome province spanish,espasol maong gasa rikki probinsya
espasol espesyalidad sarisari store,espasol specialty sarisari store,espasol espesyalidad sarisari tindahan
kumakain rikki espasol beranda,rikki eating espasol porch,gakaon espasol rikki beranda
niregaluhan vincente espasol bata,vincente gave children gift,gigasahan rikki espasol bata
pasalubong vincente espasol galing biyahe,vincente greets espasol trip,gasa vincente espasol panaw
espasol vincente tindahan ale,vincente wanted espasol ale store,espasol ganahan vicente tindahan babaye
masarap buko pandan esmeralda,esmeraldas knuckles delicious,lami buko pandan esmeralda
masarap sapinsapin esmeralda,esmeraldas layers delicious,lami sapinsapin esmeralda
masarap morcon esmeraldo,morcon delicious,lami morcon esmeraldo
masarap adobo esmeraldo,pickle delicious,lami adobo esmeraldo
masarap pansit esmeraldo,noodles delicious,lami pansit esmeraldo
masarap halohalo esmeraldo,mix delicious,lami halohalo esmeraldo
masarap sisig esmeralda,esmeraldas sisig delicious,lami sisig esmeralda
masarap espasol esmeraldo,espasol delicious,lami espasol esmeraldo
masarap tsampurado esmeraldo,tsampurado delicious,lami champurado esmeraldo
masarap ube esmeraldo,pears delicious,lami ube esmeraldo
